track_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,popularity
Positively 4th Street - Single Version,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.559,0.478,-10.023,0.0268,0.819,0.113,0.735,109.598,247773,0
Here Comes The Sun - Remastered 2009,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.557,0.54,-10.484,0.0347,0.0339,0.179,0.394,129.171,185733,0
Last Goodbye,Jeff Buckley,"['melancholia', 'permanent wave', 'singer-songwriter']",0.539,0.827,-5.045,0.038,0.0254,0.233,0.523,86.922,275720,0
Gone,Charli XCX,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",0.91,0.441,-7.575,0.0693,0.0414,0.0745,0.66,114.002,246480,0
Bad Romance,Lady Gaga,"['art pop', 'dance pop', 'pop']",0.696,0.921,-3.755,0.0363,0.00314,0.0842,0.714,119.001,294573,0
Me Myself And I,De La Soul,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",0.898,0.92,-7.859,0.0636,0.0711,0.0908,0.875,114.343,224693,0
Pretty Vacant,Sex Pistols,"['alternative rock', 'punk', 'rock']",0.258,0.932,-5.194,0.0702,0.0467,0.142,0.334,145.582,198160,0
Shot By Both Sides - Remastered,Magazine,[],0.324,0.967,-5.655,0.0774,0.0278,0.0566,0.392,165.92,244320,0
Boom Boom,John Lee Hooker,"['blues', 'blues rock', 'delta blues', 'electric blues', 'memphis blues', 'traditional blues']",0.441,0.455,-14.207,0.0485,0.62,0.135,0.918,160.9,152351,0
Knockin' On Heaven's Door,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.513,0.396,-13.061,0.0299,0.251,0.11,0.229,140.208,149880,0
Move It - 2000 Remaster,Cliff Richard & The Drifters,['rock-and-roll'],0.547,0.853,-5.02,0.0364,0.718,0.33,0.942,164.279,144093,0
Please Mr. Postman - Single Version / Mono,The Marvelettes,"['classic girl group', 'classic soul', 'motown', 'soul']",0.785,0.776,-5.259,0.0312,0.729,0.181,0.967,121.505,148040,0
Single Ladies (Put a Ring on It),Beyoncé,"['pop', 'r&b']",0.426,0.584,-5.293,0.296,0.0383,0.188,0.272,193.437,193213,0
Just Like a Woman,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.563,0.441,-9.902,0.0437,0.773,0.351,0.468,115.168,290467,0
The Boys Of Summer,Don Henley,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",0.516,0.549,-13.741,0.0373,0.501,0.184,0.907,176.941,288733,0
This Town Ain't Big Enough For Both Of Us,Sparks,"['dance pop', 'pop', 'post-teen pop']",0.465,0.731,-10.592,0.0724,0.448,0.297,0.638,129.684,184600,0
The Dark End of the Street,James Carr,"['classic soul', 'memphis soul', 'southern soul']",0.522,0.397,-8.491,0.027,0.799,0.11,0.356,75.572,153987,0
Alive,Pearl Jam,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock']",0.284,0.875,-6.069,0.0422,0.00752,0.402,0.595,75.009,340907,0
Personality Crisis,New York Dolls,"['early us punk', 'glam punk', 'glam rock', 'protopunk', 'punk']",0.429,0.914,-9.594,0.0505,0.0321,0.436,0.685,155.588,221507,0
I Wanna Be Sedated,Ramones,"['alternative rock', 'early us punk', 'permanent wave', 'punk', 'rock']",0.56,0.965,-2.341,0.0409,0.121,0.169,0.964,162.825,149787,0
New Year's Day,U2,"['irish rock', 'permanent wave', 'rock']",0.518,0.803,-6.337,0.0318,0.00151,0.612,0.633,133.462,257040,0
"Archie, Marry Me",Alvvays,"['art pop', 'bubblegrunge', 'chamber pop', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'noise pop', 'shoegaze', 'toronto indie']",0.268,0.829,-4.592,0.0743,0.00986,0.142,0.203,117.351,196560,0
Heart-Shaped Box,Nirvana,"['grunge', 'permanent wave', 'rock']",0.256,0.641,-10.283,0.0552,0.199,0.0853,0.382,203.006,281160,0
Love It If We Made It,The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",0.472,0.745,-5.297,0.0356,0.000607,0.0957,0.0631,180.06,252926,0
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,"['album rock', 'beatlesque', 'blues rock', 'british blues', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']",0.451,0.818,-8.124,0.0439,0.135,0.052,0.755,124.532,229360,0
Public Image - Remastered,Public Image Ltd.,"['alternative rock', 'britpop', 'new romantic', 'new wave', 'post-punk', 'punk', 'uk post-punk']",0.286,0.866,-6.552,0.0723,4.79e-05,0.697,0.604,155.366,178733,0
Rock Lobster,The B-52's,"['album rock', 'classic rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'zolo']",0.592,0.882,-8.315,0.0468,0.00884,0.0506,0.442,92.157,409400,0
How High The Moon,Les Paul,['space age pop'],0.699,0.503,-13.616,0.0381,0.775,0.221,0.846,118.338,127960,0
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",0.63,0.455,-13.667,0.0322,0.792,0.133,0.645,94.08,327707,0
Surrender,Cheap Trick,"['album rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'power pop', 'rock', 'soft rock']",0.524,0.955,-7.081,0.0411,0.00717,0.659,0.869,133.849,253733,0
Take Five,The Dave Brubeck Quartet,"['bebop', 'jazz', 'jazz quartet']",0.454,0.26,-13.193,0.0401,0.539,0.0675,0.598,174.322,324133,0
Call Me Maybe,Carly Rae Jepsen,"['canadian pop', 'dance pop', 'pop']",0.783,0.58,-6.548,0.0408,0.0114,0.108,0.66,120.021,193400,0
Feels Like We Only Go Backwards,Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",0.303,0.9,-2.352,0.0574,0.0277,0.11,0.491,149.508,192960,0
My Love (feat. T.I.),Justin Timberlake,"['dance pop', 'pop']",0.771,0.68,-5.881,0.224,0.277,0.682,0.808,119.952,276160,0
Runaround Sue,Dion & The Belmonts,"['brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",0.364,0.607,-9.791,0.125,0.451,0.251,0.598,79.987,171600,0
Let's Spend The Night Together,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.562,0.793,-7.774,0.0526,0.705,0.222,0.57,140.838,215920,0
Band Of Gold (Single Mix),Freda Payne,['motown'],0.756,0.687,-7.76,0.0435,0.064,0.25,0.914,106.247,178093,0
I'm A Man,Bo Diddley,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",0.513,0.546,-15.672,0.0391,0.333,0.17,0.834,85.527,164547,0
Everyday Is Like Sunday - 2011 Remaster,Morrissey,"['madchester', 'new wave', 'permanent wave', 'solo wave']",0.6,0.869,-5.126,0.0302,0.00345,0.311,0.56,117.064,215267,0
1 Thing,Amerie,"['contemporary r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0.612,0.961,-3.078,0.333,0.107,0.0413,0.867,129.873,238760,0
Livin' On A Prayer,Bon Jovi,"['glam metal', 'rock']",0.532,0.887,-3.757,0.0335,0.0778,0.294,0.795,122.511,249293,0
Damaged Goods,Gang Of Four,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'noise pop', 'post-punk', 'punk', 'uk post-punk']",0.75,0.79,-5.935,0.116,0.0148,0.111,0.946,157.432,206787,0
Lithium,Nirvana,"['grunge', 'permanent wave', 'rock']",0.678,0.656,-6.41,0.0381,0.00174,0.0631,0.485,123.207,257053,0
Buddy Holly,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",0.556,0.92,-4.606,0.0367,0.00271,0.117,0.771,121.138,159227,0
Ni**as In Paris,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",0.789,0.858,-5.542,0.311,0.127,0.349,0.775,140.022,219333,0
It Takes Two,Rob Base & DJ EZ Rock,"['freestyle', 'harlem hip hop', 'hip hop', 'hip house', 'miami bass', 'new jack swing']",0.767,0.776,-8.915,0.144,0.0143,0.326,0.608,111.686,301893,0
"Hey Hey, My My (Into The Black)",Neil Young,"['canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",0.515,0.89,-9.174,0.0483,0.343,0.708,0.527,122.042,313387,0
Hurricane,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.509,0.827,-7.715,0.0782,0.0409,0.12,0.743,135.601,512733,0
Don't Look Back In Anger - Remastered,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",0.328,0.936,-3.254,0.0628,0.0665,0.165,0.31,162.97,289560,0
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,['dance pop'],0.709,0.824,-8.824,0.0453,0.207,0.0888,0.867,118.818,291293,0
Say It Loud - I'm Black And I'm Proud - Pts.1 & 2,James Brown,"['funk', 'soul']",0.841,0.674,-5.684,0.168,0.448,0.0386,0.88,116.451,285826,0
Drop It Like It's Hot,Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",0.888,0.632,-3.872,0.219,0.19,0.101,0.662,91.979,266067,0
L.E.S. Artistes,Santigold,"['alternative dance', 'art pop', 'indietronica', 'neo-synthpop']",0.869,0.796,-2.001,0.034,0.0348,0.111,0.726,117.99,204907,0
Can't Stand Me Now,The Libertines,"['britpop', 'garage rock', 'garage rock revival', 'modern rock']",0.368,0.936,-3.207,0.0623,0.0146,0.0923,0.568,164.427,203733,0
Atlas,Battles,"['antiviral pop', 'comic']",0.762,0.721,-5.74,0.0392,0.000109,0.108,0.386,135.174,426320,0
Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash","['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.458,0.364,-13.126,0.0431,0.467,0.197,0.3,154.215,444053,0
Substitute,The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",0.373,0.868,-9.762,0.0398,0.245,0.0743,0.75,135.832,227267,0
Birthday,The Sugarcubes,"['alternative rock', 'dream pop', 'icelandic pop', 'icelandic post-punk']",0.325,0.657,-8.203,0.0422,0.0276,0.0788,0.221,183.156,239533,0
One O'Clock Jump,Count Basie,"['big band', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",0.566,0.245,-16.919,0.0636,0.897,0.134,0.781,168.766,182666,0
Banquet,Bloc Party,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave', 'scottish rock']",0.578,0.892,-7.952,0.0441,0.000139,0.215,0.892,150.253,196613,0
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,"['classic girl group', 'classic soul', 'motown', 'soul']",0.514,0.624,-9.287,0.0842,0.513,0.307,0.755,166.726,163053,0
Cars,Gary Numan,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",0.545,0.578,-8.745,0.0406,0.0114,0.0692,0.819,128.038,238907,0
I Fall To Pieces - Single Version,Patsy Cline,['nashville sound'],0.54,0.0568,-20.508,0.0351,0.917,0.12,0.506,111.791,171333,0
Try Again,Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",0.794,0.662,-4.913,0.249,0.0789,0.0937,0.683,93.053,284640,0
Rebel Without A Pause,Public Enemy,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']",0.783,0.878,-6.481,0.32,0.00502,0.662,0.634,99.811,302667,0
Complete Control,The Clash,"['alternative rock', 'permanent wave', 'punk', 'rock']",0.194,0.922,-6.208,0.0534,0.0026,0.686,0.681,172.679,192853,0
Don't Believe The Hype,Public Enemy,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']",0.873,0.688,-5.856,0.318,0.00968,0.138,0.823,98.425,319360,0
Jealous Guy - Remastered 2010,John Lennon,"['beatlesque', 'classic rock', 'rock']",0.489,0.389,-11.653,0.0284,0.877,0.105,0.254,131.366,257787,0
Race for the Prize - 2017 Remaster,The Flaming Lips,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'noise pop', 'okc indie', 'singer-songwriter']",0.326,0.841,-7.14,0.0858,4.56e-05,0.251,0.449,130.723,258912,0
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.311,0.325,-9.042,0.0283,0.0469,0.139,0.668,65.09,208467,0
"Fix Up, Look Sharp",Dizzee Rascal,"['grime', 'instrumental grime']",0.934,0.826,-4.34,0.268,0.0241,0.0934,0.301,104.741,224960,0
Clocks,Coldplay,"['permanent wave', 'pop']",0.577,0.749,-7.215,0.0279,0.599,0.183,0.255,130.97,307880,0
Angie,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.429,0.554,-6.128,0.0291,0.67,0.105,0.407,136.302,272000,0
Just My Imagination (Running Away With Me),The Temptations,"['memphis soul', 'motown', 'soul']",0.425,0.242,-15.424,0.0267,0.88,0.195,0.477,92.472,228160,0
Night Moves,Bob Seger,"['album rock', 'classic rock', 'country rock', 'detroit rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.705,0.743,-6.631,0.042,0.432,0.103,0.374,118.552,324423,0
Sex & Drugs & Rock & Roll,Ian Dury,['pub rock'],0.833,0.716,-11.265,0.04,0.533,0.058,0.9,104.8,186627,0
Iron Man - 2012 - Remaster,Black Sabbath,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",0.336,0.792,-10.875,0.084,0.00351,0.0437,0.427,155.587,355304,0
Wooly Bully,Sam The Sham & The Pharaohs,"['bubblegum pop', 'classic garage rock', 'merseybeat', 'rock-and-roll', 'surf music']",0.582,0.575,-11.89,0.0529,0.713,0.152,0.558,140.597,140867,0
Climax,Usher,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",0.647,0.478,-8.837,0.0782,0.547,0.156,0.333,135.877,232907,0
American Girl,Tom Petty and the Heartbreakers,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.55,0.824,-5.988,0.0334,0.448,0.366,0.777,114.512,214733,0
Money,Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",0.468,0.536,-10.422,0.144,0.024,0.269,0.785,126.256,382834,0
Little Wing,Jimi Hendrix,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",0.515,0.534,-8.045,0.0768,0.181,0.0547,0.426,70.776,145747,0
River Man,Nick Drake,"['british folk', 'folk', 'melancholia', 'singer-songwriter']",0.473,0.118,-20.098,0.0339,0.852,0.112,0.0921,114.521,258680,0
Everything In Its Right Place,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.296,0.463,-11.412,0.0449,0.705,0.0954,0.0629,123.943,251427,0
Ode To Billie Joe,Bobbie Gentry,[],0.637,0.189,-10.726,0.0471,0.721,0.0939,0.695,120.142,255002,0
Summer Babe - Winter Version,Pavement,"['alternative rock', 'chamber pop', 'indie rock', 'lo-fi', 'shoegaze']",0.371,0.854,-5.91,0.0288,4.84e-06,0.0617,0.568,97.517,196600,0
Making Plans For Nigel,XTC,"['art punk', 'art rock', 'beatlesque', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'power pop', 'zolo']",0.632,0.893,-6.04,0.0455,0.0143,0.0741,0.773,149.97,253800,0
Faith - Remastered,George Michael,['new wave pop'],0.887,0.48,-11.994,0.117,0.0094,0.0662,0.607,95.846,193200,0
Surfin' U.S.A. - Remastered 2001,The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",0.55,0.854,-5.968,0.036,0.661,0.112,0.965,159.231,149373,0
America,Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",0.259,0.241,-15.955,0.042,0.554,0.0849,0.275,178.453,215293,0
Surf's Up - Remastered 2009,The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",0.366,0.193,-17.042,0.0306,0.571,0.093,0.287,100.274,253760,0
Uptown Top Ranking - Remastered 2001,Althea And Donna,"['dub', 'reggae', 'roots reggae']",0.886,0.522,-7.971,0.173,0.0477,0.207,0.79,82.439,229160,0
The Revolution Will Not Be Televised,Gil Scott-Heron,"['afrobeat', 'afropop', 'conscious hip hop', 'funk', 'jazz funk', 'political hip hop', 'slam poetry', 'soul']",0.56,0.767,-9.825,0.191,0.51,0.103,0.961,180.641,187347,0
Thriller,Michael Jackson,"['r&b', 'soul']",0.776,0.857,-4.943,0.0704,0.0913,0.918,0.799,118.418,357493,0
Hellhound on My Trail,Robert Johnson,"['acoustic blues', 'blues', 'delta blues', 'pre-war blues', 'traditional blues']",0.546,0.169,-13.852,0.0377,0.976,0.133,0.549,96.297,154467,0
"Take the ""A"" Train",Duke Ellington,"['african-american classical', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",0.631,0.308,-13.425,0.0669,0.194,0.0913,0.365,168.354,174560,0
My Sharona,The Knack,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'soft rock']",0.586,0.7,-9.558,0.0363,0.0589,0.0318,0.897,147.245,295400,0
Some Velvet Morning,Nancy Sinatra,"['lounge', 'sunshine pop']",0.23,0.499,-9.041,0.0319,0.661,0.118,0.333,103.605,219200,0
Watching The Detectives - Single Version,Elvis Costello,"['new wave', 'permanent wave', 'power pop', 'singer-songwriter']",0.793,0.362,-12.146,0.0592,0.0135,0.216,0.811,133.353,226040,0
Missing - Todd Terry Remix,Everything But The Girl,"['new wave pop', 'sophisti-pop', 'trip hop']",0.723,0.721,-9.389,0.0301,0.0249,0.0545,0.646,123.488,236293,0
The Tears Of A Clown,Smokey Robinson & The Miracles,"['classic soul', 'motown', 'quiet storm', 'soul']",0.593,0.607,-9.886,0.0283,0.147,0.128,0.953,128.365,181800,0
Atlantic City,Bruce Springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.475,0.429,-10.577,0.0367,0.311,0.376,0.34,108.034,236653,0
Free Fallin',Tom Petty,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.623,0.449,-13.333,0.0253,0.212,0.0613,0.572,84.383,256000,0
A Case of You,Joni Mitchell,"['canadian singer-songwriter', 'folk', 'folk rock', 'singer-songwriter']",0.693,0.201,-9.903,0.0288,0.9,0.112,0.679,100.836,263480,0
I Got You Babe,Sonny & Cher,"['adult standards', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'singer-songwriter', 'soft rock']",0.629,0.795,-6.02,0.0278,0.136,0.132,0.6,110.583,190080,0
EARFQUAKE,"Tyler, The Creator","['hip hop', 'rap']",0.554,0.498,-8.866,0.0685,0.23,0.795,0.413,79.635,190067,0
"Something To Dance About - From ""Call Me Madam""",Billie Holiday,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",0.586,0.394,-8.574,0.224,0.873,0.367,0.914,88.607,182147,0
Walk Away Renee,The Left Banke,"['baroque pop', 'bubblegum pop', 'classic garage rock', 'freakbeat', 'merseybeat', 'psychedelic rock']",0.474,0.436,-11.715,0.0284,0.254,0.294,0.588,118.314,162907,0
The Mercy Seat - 2010 Remastered Version,Nick Cave & The Bad Seeds,"['alternative rock', 'permanent wave', 'singer-songwriter']",0.288,0.965,-4.051,0.0619,0.0705,0.516,0.24,94.631,438080,0
Pyramid Song,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.12,0.336,-8.298,0.0352,0.786,0.111,0.0679,72.64,288733,0
Can't Feel My Face,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.705,0.769,-5.526,0.0425,0.113,0.105,0.583,107.949,213520,0
Holiday in Cambodia,Dead Kennedys,"['alternative rock', 'early us punk', 'hardcore punk', 'punk']",0.133,0.927,-5.371,0.0741,0.00344,0.0915,0.5,197.708,224867,0
Solsbury Hill,Peter Gabriel,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'permanent wave', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock']",0.683,0.63,-8.844,0.0296,0.363,0.314,0.481,102.457,261440,0
Borderline,Madonna,"['dance pop', 'pop']",0.807,0.764,-5.186,0.0312,0.082,0.115,0.371,119.867,238360,0
Goodbye Yellow Brick Road - Remastered 2014,Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.559,0.473,-7.712,0.0279,0.446,0.154,0.397,121.227,192827,0
Genius of Love,Tom Tom Club,"['dance rock', 'new wave', 'no wave']",0.921,0.529,-11.974,0.0851,0.0845,0.0478,0.724,102.941,334360,0
A Milli,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.663,0.688,-8.659,0.283,0.0391,0.223,0.731,151.589,221813,0
Ballad of a Thin Man,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.473,0.574,-8.189,0.032,0.695,0.509,0.499,74.056,356707,0
No Diggity,Blackstreet,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",0.867,0.646,-4.674,0.288,0.303,0.279,0.67,88.634,304600,0
Me and Guiliani Down by the School Yard - A True Story,!!!,"['alternative dance', 'dance rock', 'dance-punk', 'electronica', 'neo-synthpop', 'new rave', 'sacramento indie']",0.78,0.81,-6.406,0.0472,0.000661,0.0684,0.81,126.0,542893,0
Oliver's Army,Elvis Costello & The Attractions,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'pub rock']",0.527,0.725,-9.405,0.0287,0.336,0.221,0.94,143.162,180840,0
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",0.606,0.457,-14.035,0.0497,0.713,0.0747,0.813,92.033,244027,0
Master of Puppets (Remastered),Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0.539,0.828,-9.108,0.035,0.00067,0.154,0.562,105.25,515387,0
Monster,Kanye West,"['chicago rap', 'hip hop', 'rap']",0.628,0.692,-5.64,0.202,0.00244,0.668,0.0963,124.887,378893,0
BIPP,SOPHIE,['bedroom soul'],0.765,0.703,-3.883,0.166,0.0937,0.127,0.335,82.681,224143,0
Psychotic Reaction,Count Five,"['classic garage rock', 'protopunk', 'psychedelic rock']",0.358,0.753,-6.641,0.0986,0.000259,0.266,0.688,164.896,185524,0
In Da Club,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.902,0.72,-2.776,0.347,0.26,0.0749,0.805,90.059,193467,0
Super Freak,Rick James,"['disco', 'funk', 'motown', 'quiet storm', 'soul', 'synth funk']",0.838,0.794,-8.245,0.0531,0.22,0.0575,0.962,132.446,205467,0
Give It Away,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.666,0.936,-9.919,0.0476,0.00244,0.153,0.776,91.577,282907,0
Tiny Dancer,Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.414,0.428,-11.097,0.0278,0.382,0.148,0.282,145.075,377093,0
A Hard Rain's A-Gonna Fall,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.567,0.198,-18.681,0.0327,0.919,0.135,0.321,92.467,412200,0
In the Ghetto,Elvis Presley,"['rock-and-roll', 'rockabilly']",0.404,0.266,-16.688,0.0334,0.716,0.107,0.491,88.916,167413,0
Sound and Vision - 2017 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.667,0.804,-8.583,0.0398,0.0328,0.0632,0.759,105.799,184382,0
Uptown Funk (feat. Bruno Mars),Mark Ronson,['pop soul'],0.856,0.609,-7.223,0.0824,0.00801,0.0344,0.928,114.988,269667,0
Beautiful Day,U2,"['irish rock', 'permanent wave', 'rock']",0.539,0.926,-6.495,0.0499,0.014,0.36,0.454,136.279,246400,0
Rock with You - Single Version,Michael Jackson,"['r&b', 'soul']",0.808,0.535,-12.521,0.0353,0.179,0.158,0.848,114.031,220627,0
La Grange - 2005 Remaster,ZZ Top,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",0.545,0.64,-9.937,0.224,0.00249,0.196,0.606,80.544,230480,0
A Forest - 2006 Remaster,The Cure,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",0.633,0.62,-11.271,0.0648,0.34,0.0977,0.421,81.117,354933,0
Mask Off (feat. Kendrick Lamar) - Remix,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.72,0.424,-11.964,0.387,0.0122,0.453,0.228,150.01,258427,0
Spanish Harlem,Ben E. King,"['rock-and-roll', 'soul']",0.6,0.633,-10.972,0.0405,0.307,0.116,0.803,125.121,173773,0
Close to Me - 2006 Remaster,The Cure,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",0.725,0.524,-11.121,0.116,0.0748,0.0819,0.961,185.134,203267,0
Galang,M.I.A.,"['escape room', 'indietronica', 'neo-synthpop', 'new rave']",0.843,0.883,-5.801,0.165,0.415,0.0418,0.835,100.998,213600,0
Soon,my bloody valentine,"['alternative rock', 'dream pop', 'noise pop', 'shoegaze']",0.425,0.839,-12.391,0.0385,6.64e-06,0.433,0.705,109.575,418707,0
Hyperballad,Björk,"['art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop']",0.519,0.437,-12.97,0.0325,0.0216,0.375,0.0356,134.933,321360,0
The Needle and the Damage Done - 2009 Remaster,Neil Young,"['canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",0.591,0.221,-18.296,0.0416,0.855,0.696,0.369,105.3,123187,0
She's Not There,The Zombies,"['baroque pop', 'british invasion', 'classic rock', 'folk rock', 'psychedelic rock']",0.523,0.803,-5.189,0.045,0.583,0.0948,0.898,132.3,145293,0
